filename,matrix_size,block_size,timing
blocked_ijk_atlas.out,128,32,0.00093924
blocked_ijk_atlas.out,128,64,0.00058772
blocked_ijk_atlas.out,128,128,0.0006477200000000001
blocked_ijk_atlas.out,256,2,0.16375696
blocked_ijk_atlas.out,256,4,0.03078976
blocked_ijk_atlas.out,256,8,0.011338199999999998
blocked_ijk_atlas.out,256,16,0.00818708
blocked_ijk_atlas.out,256,32,0.00728944
blocked_ijk_atlas.out,256,64,0.00417188
blocked_ijk_atlas.out,256,128,0.004046320000000001
blocked_ijk_atlas.out,256,256,0.004101
blocked_ijk_atlas.out,512,2,1.30717452
blocked_ijk_atlas.out,512,4,0.24778848000000003
blocked_ijk_atlas.out,512,8,0.09334123999999999
blocked_ijk_atlas.out,512,16,0.0638168
blocked_ijk_atlas.out,512,32,0.05843396
blocked_ijk_atlas.out,512,64,0.03258356000000001
blocked_ijk_atlas.out,512,128,0.0309974
blocked_ijk_atlas.out,512,256,0.030732159999999994
blocked_ijk_atlas.out,512,512,0.029372439999999996
blocked_ijk_atlas.out,1024,2,13.861305399999999
blocked_ijk_atlas.out,1024,4,3.207080000000001
blocked_ijk_atlas.out,1024,8,0.94997996
blocked_ijk_atlas.out,1024,16,0.5301826799999999
blocked_ijk_atlas.out,1024,32,0.47831540000000006
blocked_ijk_atlas.out,1024,64,0.26847528
blocked_ijk_atlas.out,1024,128,0.25191095999999996
blocked_ijk_atlas.out,1024,256,0.24542412
blocked_ijk_atlas.out,1024,512,0.22812204000000003
blocked_ijk_atlas.out,1024,1024,0.22522132000000003
blocked_kij_atlas.out,2,2,1.5479999999999997e-05
blocked_kij_atlas.out,4,2,1.46e-05
blocked_kij_atlas.out,4,4,1.4999999999999999e-05
blocked_kij_atlas.out,8,2,1.9719999999999998e-05
blocked_kij_atlas.out,8,4,1.6000000000000003e-05
blocked_kij_atlas.out,8,8,1.652e-05
blocked_kij_atlas.out,16,2,6.179999999999998e-05
blocked_kij_atlas.out,16,4,2.2720000000000006e-05
blocked_kij_atlas.out,16,8,1.7199999999999998e-05
blocked_kij_atlas.out,16,16,1.748e-05
blocked_kij_atlas.out,32,2,0.00029008
blocked_kij_atlas.out,32,4,7.54e-05
blocked_kij_atlas.out,32,8,3.96e-05
blocked_kij_atlas.out,32,16,3.3560000000000004e-05
blocked_kij_atlas.out,32,32,2.98e-05
blocked_kij_atlas.out,64,2,0.0022843199999999994
blocked_kij_atlas.out,64,4,0.0005402399999999999
blocked_kij_atlas.out,64,8,0.00020156000000000001
blocked_kij_atlas.out,64,16,0.00015691999999999998
blocked_kij_atlas.out,64,32,0.00013848
blocked_kij_atlas.out,64,64,0.00012812
blocked_kij_atlas.out,128,2,0.017508119999999995
blocked_kij_atlas.out,128,4,0.003818199999999999
blocked_kij_atlas.out,128,8,0.0015043199999999997
blocked_kij_atlas.out,128,16,0.0011195200000000002
blocked_kij_atlas.out,128,32,0.0009300399999999999
blocked_kij_atlas.out,128,64,0.0005949200000000001
blocked_kij_atlas.out,128,128,0.0006707600000000001
blocked_kij_atlas.out,256,2,0.13893044
blocked_kij_atlas.out,256,4,0.028898120000000006
blocked_kij_atlas.out,256,8,0.011013680000000001
blocked_kij_atlas.out,256,16,0.00797728
blocked_kij_atlas.out,256,32,0.00732752
blocked_kij_atlas.out,256,64,0.0041648399999999995
blocked_kij_atlas.out,256,128,0.004155
blocked_kij_atlas.out,256,256,0.00405164
blocked_kij_atlas.out,512,2,1.1070158
blocked_kij_atlas.out,512,4,0.22865428000000002
blocked_kij_atlas.out,512,8,0.08747444
blocked_kij_atlas.out,512,16,0.06351296000000001
blocked_kij_atlas.out,512,32,0.05786576
blocked_kij_atlas.out,512,64,0.03261352
blocked_kij_atlas.out,512,128,0.030716959999999998
blocked_kij_atlas.out,512,256,0.03070592
blocked_kij_atlas.out,512,512,0.030226080000000002
blocked_kij_atlas.out,1024,2,8.920726800000002
blocked_kij_atlas.out,1024,4,1.82300364
blocked_kij_atlas.out,1024,8,0.7013169600000001
blocked_kij_atlas.out,1024,16,0.50944876
blocked_kij_atlas.out,1024,32,0.4764892399999999
blocked_kij_atlas.out,1024,64,0.26978208000000004
blocked_kij_atlas.out,1024,128,0.25587264
blocked_kij_atlas.out,1024,256,0.24588828
blocked_kij_atlas.out,1024,512,0.22929583999999995
blocked_kij_atlas.out,1024,1024,0.22631608000000003
